,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,
AD,邪神の分霊,我を呼ぶ声あり,なし,1,効果参照,自動成功,自身,なし,3,あなたがシーンに登場する直前に使用する。あなたの信者や、あなたを利用しようとする者(エキストラ扱い)が現れ、あなたの登場と同時に真の死となる。そのシナリオの間、あなたの【加護】に+2する。,邪神の分霊
AD,邪神の分霊,邪神再誕,0、回復,1,効果参照,自動成功,自身,なし,8,いつでも使用でき、かりそめの死でも使用できる。あなたの【FP】を[最大FP÷2(端数切り上げ)]まで回復し、かりそめの死とBSをすべて回復する。1シナリオに1回まで使用できる。,邪神の分霊
彷徨える少女 - その携えたバスケット(つづらや鞄など)で大切な〈弟〉を運びつつ、安住の地を求めてさまよう謎の少女。彼女が現れると怪しい事件が頻発するが、追及の手が彼女に向かう頃にはすでに彼女はそこにはいない。その正体は、彼女自身も(GMもPCも)知らない。ロールプレイの際には注意を要する。(『アドヴェント』にて追加)。,,,,,,,,,,,
AD,彷徨える少女,少女と大きなバスケット,自動、回復,5,クリンナップ,自動成功,自身,なし,3,あなたの【FP】を[【加護】+(Lv)D6]点回復する。使用時にコストを+4すればかりそめの死でも特別に使用でき、かりそめの死を回復した上で効果を適用する。このアーツを取得した場合、常にあなたの【FP】最大値を-10(最低1)する。,彷徨える少女
AD,彷徨える少女,かしづく召使い,なし,5,セットアップ,自動成功,自身,なし,2,あなたは即座に購入判定を1回行なう。判定値は[【加護】+Lv×2]となる。購入したアイテムを即座に装備または交換してもよい。判定にクリティカルかファンブルした場合、あなたは迫害状態となる。,彷徨える少女
AD,彷徨える少女,笑顔をふりまく,なし,3,リアクション,【感情】,自身,なし,3,射撃攻撃に対して、あなたは【感情】でリアクションを行なう。あなたが勝利した場合、攻撃を回避した上で攻撃側のキャラクターは(Lv)D6点の【FP】を失い、束縛を受ける。1ラウンドにLv回まで使用できる。,彷徨える少女
AD,彷徨える少女,おお、この子だ！,なし,1,メジャー,自動成功,単体,シーン,3,対象とあなたが実は血縁であったことが判明する。対象が持つあなたへの絆の内容を任意に変更してもよい。また、あなたの財産点を+【加護B】する。シナリオ終了後、やはり血縁ではなかったことになる。1シナリオに1回まで使用でき、GMは使用を却下してもよい(その場合は回数を消費しない),彷徨える少女
AD,彷徨える少女,そんなのってひどい！,なし,1,メジャー,自動成功,自身,なし,2,あなたは4D6点の【FP】を失い、迫害状態を受ける。そのシナリオ中、あなたが行なう判定の達成値を+1する。1シナリオに1回まで使用できる。,彷徨える少女
AD,彷徨える少女,大事な《弟》,なし,3,効果参照,自動成功,自身,なし,3,あなたがガードを行なう際に使用する。攻撃側のキャラクターは[【加護】+(Lv)D6]点の【FP】を失う。クラードなら失う【FP】は2倍となる。1ラウンドに1回まで使用できる。,彷徨える少女
AD,彷徨える少女,涙をこぼす,なし,3,リアクション,【感情】,自身,なし,3,白兵攻撃に対して、あなたは【感情】でリアクションを行なう。あなたが勝利した場合、攻撃を回避した上で攻撃側のキャラクターは(Lv)D6の【FP】を失い、重圧を受ける。1ラウンドにLv回まで使用できる。,彷徨える少女
AD,彷徨える少女,塗り薬を間違ってケーキに！,なし,1,判定直前,自動成功,単体,シーン,3,対象が何らかの判定を行なう直前に使用する。その判定の達成値を-3し、対象は2D6点の【FP】を失う。1シーンに1回まで使用できる。,彷徨える少女
AD,彷徨える少女,吹雪の峠を越えて,なし,3,イニシアチブ,自動成功,自身,なし,3,あなたは通常移動か離脱移動を行なう。この時、封鎖や《接近困難》、BSなどの移動を妨害するあらゆる効果を無視する。1シナリオにLv回まで使用できる。,彷徨える少女
AD,彷徨える少女,命令ごっこ,攻撃,3,メジャー,【加護】+Lv,単体,シーン,4,重圧、狼狽、邪毒3、放心、暴走、恐怖：あなた、迫害状態から使用時にふたつ選択する。対象にDRの代わりに選択したものを与える特殊攻撃を行なう。対象は【加護】でドッジを行なう。,彷徨える少女
AD,彷徨える少女,よかった探し,防御,5,DR直後,自動成功,範囲,至近,3,対象が受けるダメージを-[【感情】+(Lv)D6]する。1ラウンドに1回まで使用でき、Lvが3以上ならさらにDRで対象は放心と恐怖を受けない。,彷徨える少女
AD,彷徨える少女,私が要らないのね！,なし,3,イニシアチブ,【感情】,単体,シーン,4,対象の【感情】と対決し、あなたが勝利した場合、対象に翻弄を与える。翻弄の対象は、シーン内のあなたが選択したキャラクター1体となる。1シーンにLv回まで使用できる。,彷徨える少女
AD,彷徨える少女,怪しすぎるバスケット,20、攻撃,5,メジャー,【加護】,範囲,至近,6,対象に[(【加護】×2)+(Lv×2)D6]点のダメージを与える特殊攻撃を行なう。対象は【回避】でドッジを行なう。1点でもダメージを与えた場合、あなたの【FP】を[【加護】×2]点回復する。1シーンに1回まで使用できる。,彷徨える少女
AD,彷徨える少女,幸せの涙が流れる時,20,3,セットアップ,【加護】+Lv,シーン,シーン,5,対象の【感情】と対決し、あなたが勝利した場合、対象に放心を与える。使用後、あなたも放心を受ける。1シーンに1回まで使用できる。,彷徨える少女
AD,彷徨える少女,あなたが私の王子様！？,純血,1,メジャー,自動成功,単体,シーン,愛,対象はあなたに[好意]の絆を取得する。新たに絆を取得できない場合、絆ひとつをあなたへの絆に変更する。この絆存在する間、対象はあなたに最大限の援助を行なう。具体的な効果はGMが決定せよ。対象は愛か罪1点、またはドミニオンアーツの使用回数を1回分消費することでこの効果を解除し、その絆の対象と関係を任意に変更できる。1シナリオに1回まで使用できる。,彷徨える少女
AD,彷徨える少女,心友の誓い,純血,1,イニシアチブ,自動成功,単体,至近,1,あなたとお互いに対する絆を持つ、同意したキャラクターのみ対象にできる。あなたと対象はそのシナリオの人間性の回復の際に、ダイス目ひとつを6に変更できる(ダイスを振った後に適用可能)。1シナリオに1回まで使用でき、対象を単体から変更できない。,彷徨える少女
AD,彷徨える少女,バスケットの中には……,純血、10,1,効果参照,自動成功,自身,なし,罪,あなたがかりそめの死となった直後に特別に使用できる。あなたのエンゲージにクトゥルフの落とし子(『DOM』P149)が登場する。これはあなたが操作し、攻撃を行なうたびにあなたの人間性が1D6点減少、シーンが終了するかあなたがかりそめの死でなくなると消滅する。1シナリオに1回まで使用できる。,彷徨える少女
