,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,
AD,怪人,ミラージュエスケープ,魔獣,3,リアクション,【回避】,自身,なし,2,あなたは判定値に+2してドッジを行なう。1ラウンドにLv回まで使用できる。《怪人態：スカイ》の取得時、この効果にさらに+1し、ドッジに成功した直後に即座に通常移動か離脱移動を行なってもよい。,怪人
AD,怪人,巨大化変身,20、魔獣,3,解放状態,自動成功,自身,なし,6,あなたが解放状態になった直後に使用し、クライマックスフェイズにのみ使用可能。そのシーン中、あなたの【FP】とFP最大値を+[Lv×10+20]し、攻撃のダメージを+[もっとも高い【基本能力値】]する。効果中、あなたはドッジを行なえず、「種別：巨大」として扱われる。,怪人
AD,怪人,再強化調整,純血,1,常時,自動成功,自身,なし,0,取得時に「《怪人態：●●》ひとつのLvと最大Lvを+2し、あなたの初期人間性を-2する」「《魔獣化》のコストを-[あなたが取得している《怪人態：●●》の数](最低1)する」からひとつ選択しその効果を得る。,怪人
GF243,怪人,怪人態：イミテーション,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの〈社会〉属性のA値を+[Lv×2+2]し、あなたがなんらかのBSを与えた者は、即座に【FP】を3点失う。あなたの《魔獣化》のコストは+Lvされる。,怪人
GF243,怪人,プレーグエフェクト,魔獣、支援,3,DR直前,自動成功,単体,至近,2,対象が行なう攻撃のDRに+【肉体B】し、1点でもダメージを与えた場合、攻撃の対象に邪毒(Lv+2)を与える。1ラウンドに1回まで使用でき、《怪人態：イミテーション》の取得時、このアーツは「射程：シーン」となる。,怪人
幹部 - 悪の組織を動かす高級構成員をあらわすルーツ。,,,,,,,,,,,
AD,幹部,幹部のオーラ,自動、魔獣,3,判定直前,自動成功,自身,なし,2,あなたは命中判定とドッジを【社会】で行なえる。1ラウンドにLv回まで使用できる。,幹部
AD,幹部,幹部の号令,魔獣,3,メジャー,自動成功,単体,シーン,4,対象は即座にメインプロセスを行なう。対象が行動済みであってもメインプロセスを行なえ、対象が未行動の場合、このメインプロセスを行なっていても行動済みにならない。このアーツは対象を単体から変更できず、あなた自身を対象にできない。1シーンにLv回まで使用できる。,幹部
AD,幹部,幹部専用兵器,ア,5,常時,自動成功,自身,なし,2,あなたが常備化しているアイテムからLv個選択する。それが武器なら攻撃力、防具ならA値、乗り物なら行動値修正を+【技術B】する。プリプレイに選択し直してもよい。,幹部
AD,幹部,黒い財源,なし,1,メジャー,自動成功,自身,なし,0,あなたは【社会】点の財産点を得る。この財産点はメジャーアクションでシーン内の他者に譲渡できる。ただしこのアーツで得た財産点は、使用すると同点の人間性を失う。1シナリオに1回まで使用できる。,幹部
AD,幹部,ブラックプロジェクト,魔獣,3,効果参照,自動成功,単体,シーン,2,対象がアーツを使用する直前に使用し、3点以下の任意の財産点を消費する。そのアーツの効果を、+[消費した財産点]D6する。1ラウンドにLv回まで使用できる。,幹部
AD,幹部,冥土の土産に教えてやろう！,魔獣,3,イニシアチブ,自動成功,単体,シーン,2,そのシナリオ中、対象が行なう情報収集判定とあなたへの攻撃の命中判定の達成値を+[Lv+1]し、あなたが行なう攻撃から対象が受けるダメージを+(Lv)D6する。1シーンに1回まで使用できる。,幹部
AD,幹部,恐怖の正体,20、魔獣,3,マイナー,自動成功,自身,なし,6,そのシーン中、あなたの【社会】を-2(最低1)、【社会】以外の【基本能力値】ひとつを+2し、攻撃のダメージを+(Lv+2)D6、【FP】と【FP】最大値を+[もっとも高い【基本能力値】]する。効果中、あなたは怪人のルーツを持つものとして扱う。,幹部
AD,幹部,大幹部,純血,3,判定直後,自動成功,単体,シーン,5,あなた自身、あるいは《幹部の号令》の効果を受けている者のみ対象にできる。対象が行なった判定のダイス目ひとつを6に変更する。1ラウンドに1回、1シナリオにLv回まで使用できる。,幹部
GF243,幹部,幹部の余裕,なし,5,効果参照,自動成功,自身,なし,2,あなたが待機を宣言する際に使用する。そのラウンド中、あなたが行なう攻撃のダメージと、あなたのA値全てを+[Lv×2+2]する。,幹部
GF243,幹部,さらなる力をやろう！,なし,1,メジャー,自動成功,単体,シーン,3,あなた以外の同意した対象の【基本能力値】か【戦闘能力値】ひとつを、そのシナリオ中+2する(【FP】は変化しない)。1シナリオに1回まで使用でき、対象は単体から変更できない。,幹部
GF243,幹部,制裁の紫電,魔獣、攻撃,3,メジャー,【白兵】【射撃】,単体,武器,3,対象に白兵攻撃か射撃攻撃を行なう。その攻撃のダメージに+[Lv+1]D6し、1点でもダメージを与えた場合、攻撃の対象にさらに通常移動か離脱移動を行わせる(移動先はあなたが決定する)。,幹部
GF243,幹部,身の程知らずめ！,魔獣,3,効果参照,自動成功,自身,なし,2,あなたがドッジに成功するか、ガードしてG値を0にされなかった時に使用する。攻撃側は[あなたのもっとも高い【能力値B】+(Lv)D6]点の【FP】を失う。1ラウンドに1回まで使用でき、《恐怖の正体》の効果中は、失う【FP】が+5される。,幹部
GF243,幹部,万に一つも失策はない,40,1,セットアップ,自動成功,自身,なし,2,そのラウンド中、あなたが行なう判定ではファンブルが発生せず、通常の出目として扱う。《恐怖の正体》の効果中、このアーツは命中判定かドッジにしか効果が適用されなくなる代わり、それらの判定の達成値に+2する。,幹部
戦闘員 - 悪の組織の尖兵たる下級兵士たちをあらわすルーツ。,,,,,,,,,,,
AD,戦闘員,ダークトルーパー,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの【FP】と【FP】最大値を+10、【行動値】を+[Lv×3]し、あなたはクラードとして扱われる。クラードの【FP】を0にするような効果があなたに適用された場合、代わりにあなたの【FP】は1となる。あなたの《魔獣化》コストは+1される。,戦闘員
AD,戦闘員,悪の団結,魔獣,3,効果参照,自動成功,自身,なし,2,戦闘員のアーツと同時に使用する。そのアーツの効果に+(Lv)D6し、アーツの効果で失う【FP】を[Lv+1]倍に計算する。このアーツは、Lvを自主的に下げて使用することも可能(最低1)。,戦闘員
AD,戦闘員,馬車馬のように,魔獣,1,判定直後,自動成功,単体,シーン,2,あなた以外の対象が判定を行なった直後に使用する。その達成値を+3し、あなたは3点の【FP】を失う。1ラウンドに1回まで使用できる。,戦闘員
AD,戦闘員,一斉総攻撃,魔獣,3,マイナー,自動成功,自身,なし,2,そのメインプロセス中、あなたが行なう攻撃を「対象：[Lv+1]体」に変更し、あなたは3点の【FP】を失う。「種別：軍団」の武器を装備中か、あなたがクラードとして扱われている間のみ使用可能。,戦闘員
AD,戦闘員,援護いたします！,魔獣、防御,3,DR直後,自動成功,単体,シーン,2,あなた以外の対象が受けるダメージを-[【技術B】+1D6]し、あなたは3点の【FP】を失う。1ラウンドにLv回まで使用できる。,戦闘員
AD,戦闘員,支援いたします！,魔獣、支援,3,DR直前,自動成功,単体,シーン,2,あなた以外の対象が行なうDRも+[【技術B】+1D6]し、あなたは3点の【FP】を失う。1ラウンドにLv回まで使用できる。,戦闘員
AD,戦闘員,後は頼みます、うわああ！？,20、魔獣,1,DR直前,自動成功,単体,シーン,罪,対象が行なった攻撃の、DR直前に使用する。そのDRの対象をあなたひとりに変更し、あなたのA値とG値を0としてダメージを算出する。1シナリオに1回まで使用できる。,戦闘員
AD,戦闘員,ザコにだって意地がある！,純血、攻撃,1,メジャー,【白兵】,単体,武器,愛,対象に白兵攻撃を行なう。この攻撃のDRに+[【FP】最大値-【FP】]する。この攻撃のDRはあなたにも適用される。1シナリオに1回まで使用できる。,戦闘員
GF243,戦闘員,ソロトルーパー,選択、魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》中、あなたが【戦闘能力値】で行なうあらゆる判定の達成値を+1する。この効果はあなたが「種別：軍団」の武器を装備していたり、クラードとして扱われている間は無効化される。あなたの《魔獣化》のコストは+1される。,戦闘員
GF243,戦闘員,ザコだと見くびったな！,魔獣,1,DR直後,自動成功,単体,シーン,3,取得には《ソロトルーパー》が必要。あなたが行なった攻撃、またはあなたを対象に含む攻撃のDRを±【最も高い基本能力値】する。1シーンに1回まで使用でき、「種別：軍団」の武器を装備していたり、クラードとして扱われている間は使用できない。,戦闘員
偽ヒーロー - 悪の組織によって生み出されたヒーローの対存在。,,,,,,,,,,,
GF203,偽ヒーロー,フェイクアームズ,選択、ア,1,常時,自動成功,自身,なし,2,取得時にあなたが持たないブラッドのルーツから一つ選択する。あなたは選択したルーツを所持していなければ取得できないアイテムを取得できるようになる。また偽ヒーローのルーツの【戦闘能力値】と【得意能力値】を選択したルーツの物に変更して再計算してもよい。,偽ﾋｰﾛｰ
GF203,偽ヒーロー,フェイクアビリティ,選択、コピー,効果参照,効果参照,効果参照,効果参照,効果参照,効果参照,取得時に、他のルーツから「タイミング：常時」以外のアーツひとつをコピーし取得する。コピーしたアーツのコストは+1され、そのアーツを使用した判定のファンブル値は+1される。,偽ﾋｰﾛｰ
GF203,偽ヒーロー,あの○○がどうして！？,魔獣,1,イニシアチブ,自動成功,単体,シーン,4,対象と【社会】同士で対決し、あなたが勝利した場合、対象は迫害状態となる。この迫害状態の間、対象が受けるダメージは+[あなたの【社会B】]される。1シーン1回。,偽ﾋｰﾛｰ
GF203,偽ヒーロー,その力は対策済みだ,魔獣,1,判定直後,自動成功,自身,なし,2,攻撃またはアーツに対する、あなたのリアクションの達成値を+3する、《フェイクアームズ》か《フェイクアビリティ》で選択したルーツを持つキャラクターとの対決判定の場合、この効果は+5となる。1ラウンド1回。,偽ﾋｰﾛｰ
GF203,偽ヒーロー,偽物ならでは,なし,1,判定直前,自動成功,自身,なし,2,あなたが行なうリアクション以外の判定の達成値を+3する。ただし、その判定のファンブル値は+1される。1ラウンド1回。,偽ﾋｰﾛｰ
GF203,偽ヒーロー,不安定なる高性能,魔獣,5,常時,自動成功,自身,なし,Lv,《魔獣化》中、あなたの行なう攻撃のダメージとあなたのアーマー値を+[Lv×2+2]する。ただしあなたのファンブル値は+1され、ファンブルした場合即座に[1D6+(Lv×2)]点の【FP】を失う。,偽ﾋｰﾛｰ
GF203,偽ヒーロー,コピーできないとでも思ったか,20、コピー,効果参照,効果参照,効果参照,効果参照,効果参照,効果参照,取得時に《フェイクアームズ》か《フェイクアビリティ》で選択したルーツからアーツを一つコピーして取得する。この時、「種別：数字」のアーツもコピーできる。コピーしたアーツのコストは+2され、人間性が20以下の間、あなたが行なう判定のファンブル値は+1される。,偽ﾋｰﾛｰ
GF203,偽ヒーロー,本物に劣ると誰が決めた？,純血、魔獣,3,解放状態,自動成功,自身,なし,3,解放状態の間、あなたがクリティカルした判定の達成値をさらに+5し、命中判定ならダメージロールに+[Lv×2]D6する。また、解放状態の間あなたはファンブルが発生しない。,偽ﾋｰﾛｰ
GF244,偽ヒーロー,制御不能の高出力,魔獣、攻撃,1,メジャー,【白兵】【射撃】,単体,武器,3,あなたは暴走を受け、対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+[最も高い【基本能力値】]する。,偽ﾋｰﾛｰ
GF244,偽ヒーロー,その力も取り込んでやる,魔獣,1,イニシアチブ,効果参照,単体,シーン,3,あなたは対象の【戦闘能力値】を全て知ったうえで、あなたの【戦闘能力値】ひとつをそのシーン中、対象のその数値と同じにしてもよい。対象が同意しない場合、【社会】同士の対決に勝利する必要がある。1シーン1回まで使用できる。,偽ﾋｰﾛｰ
アウトサイダー - 悪の組織の中でも特異な一匹狼的立場にあるものを表すルーツ。,,,,,,,,,,,
GF203,アウトサイダー,格の違いを知るがいい,自動、魔獣,1,メジャー,自動成功,自身,なし,3,そのシナリオの間、あなたの【戦闘能力値】ひとつを+2(【行動値】なら+5)する。1シナリオ1回。,ｱｳﾄｻｲﾀﾞｰ
GF203,アウトサイダー,孤高のアンタッチャブル,なし,1,常時,自動成功,自身,なし,2,あなたの<社会>属性のA値を+[もっとも高い【能力値B】]する。また、《格の違いを知るがいい》の効果中、あなたは迫害状態を受けない。,ｱｳﾄｻｲﾀﾞｰ
GF203,アウトサイダー,ザコは消えろ……！,魔獣,5,マイナー,自動成功,自身,なし,3,そのメインプロセスにあなたが行なう攻撃の対象を範囲に変更し、クラード及び「種別：軍団」の武器を装備中の対象に与えるダメージを+[Lv+1]D6する。,ｱｳﾄｻｲﾀﾞｰ
GF203,アウトサイダー,それでこそ我がライバル！,なし,1,判定直後,自動成功,単体,シーン,2,あなた以外の、あなたが絆を持つキャラクターのみ対象にできる。対象が行なった判定の達成値を+3する。あなたが《交錯！悪の好敵手》を使用した対象の場合、さらにその判定では1と2の出目をすべて3として扱う。1ラウンド1回。,ｱｳﾄｻｲﾀﾞｰ
GF203,アウトサイダー,ハンターショット,ア,5,常時,自動成功,自身,なし,2,あなたは以下のデータを持つ射撃武器を得る。取得時に種別一つを選択し、その種別を持つ対象に与えるダメージが+5される。　種別：武器(射撃) / 命中：1/ G値：0 / 攻撃力：【技術】+(Lv×3)+2D6 / 行動値：0 / 射程：シーン,ｱｳﾄｻｲﾀﾞｰ
GF203,アウトサイダー,誇り高き一匹狼,魔獣,1,常時,自動成功,自身,なし,2,このアーツはあなたが《卑劣！迫る悪の罠》を取得していたり「種別：軍団」の武器を装備中、及びクラードとして扱われている間は効果を発揮しない。あなたのエンゲージに味方がいない場合、あなたの攻撃のダメージとA値に+[もっとも高い【能力値B】]する。,ｱｳﾄｻｲﾀﾞｰ
GF203,アウトサイダー,生死を賭けたデスマッチ,20、魔獣,1,イニシアチブ,効果参照,単体,シーン,6,あなたが指定した任意の【基本能力値】か【戦闘能力値】同士で対象と対決を行なう。この対決に敗北した側は[自身の最も高い【基本能力値】×3]点の【FP】を失い、放心を受ける。1シナリオ1回。対象を単体から変更できない。,ｱｳﾄｻｲﾀﾞｰ
GF203,アウトサイダー,アウトサイダーの墓標,純血、魔獣,1,DR直後,自動成功,単体,シーン,愛,対象が与えるダメージに+[あなたの最も高い【基本能力値】×3]するか、または自身以外の対象が受けるダメージを0にする。効果の適用後、あなたの【FP】は0になる。1シナリオ1回。,ｱｳﾄｻｲﾀﾞｰ
GF244,アウトサイダー,興が削がれた……,魔獣,1,イニシアチブ,自動成功,自身,なし,3,あなたは離脱移動を行なう。GMが許可すれば、即座にシーンから退場してもよい。1シーンに1回まで使用でき、この効果でシーンから退場した場合、以降シナリオ中あなたが行なう攻撃のダメージを+1D6する(重複はしないことに注意)。,ｱｳﾄｻｲﾀﾞｰ
GF244,アウトサイダー,これが受けきれるか？,魔獣、攻撃,1,メジャー,【白兵】【射撃】,単体,武器,3,《格の違いを知るがいい》の効果中のみ使用できる。対象に白兵攻撃か射撃攻撃を行なう。この攻撃は対象のA値とG値を0として扱う。ハンターショットを使用した場合、さらに命中判定の達成値に+2する。,ｱｳﾄｻｲﾀﾞｰ
GF244,アウトサイダー,超然たる孤立,なし,1,常時,自動成功,自身,なし,2,あなたは財産点を得られず、常に０点となる。あなたは常に重圧と恐怖を受けない。,ｱｳﾄｻｲﾀﾞｰ
GF244,アウトサイダー,特権存在,なし,1,常時,自動成功,自身,なし,2,ダークカルテルのルーツまたはアーツを持つ者との間で、あなたが行なう対決の判定の達成値を+2する。また、あなたはダークカルテル装備のうち、特定のルーツを持たなければ装備できないアイテムをその制限を無視して装備可能。,ｱｳﾄｻｲﾀﾞｰ
GF244,アウトサイダー,貴様では一歩及ばない！,純血、魔獣,1,効果参照,自動成功,単体,シーン,6,あなたと単体の対象による対決の判定で、双方の達成値が算出された直後に使用する。あなたの達成値を[対象の達成値+1]に変更する。1シナリオに1回まで使用できる。,ｱｳﾄｻｲﾀﾞｰ
