,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
DE,ストレンジャー,ストレンジテクニック,なし,1,判定直前,自動成功,自身,なし,2,《異界の法則》を取得していなければ取得できない。取得時に白兵、射撃、特殊攻撃のいずれかを選択すること。あなたは選択した攻撃の命中判定を[《異界の法則》で+1した【基本能力値】]で行える。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,ストレンジバックボーン,なし,1,効果参照,自動成功,自身,なし,2,あなたが「種別：回復」のアイテムかアーツを使用する際に使用する。任意の点数の財産点を消費すること。その効果で回復する【FP】に+[消費した財産点×3]する。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,超鑑定,なし,5,判定直前,自動成功,自身,なし,2,あなたが行なう購入判定の達成値を+[Lv×2]する。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,超論破,攻撃,1,メジャー,【感情】,単体,シーン,5,対象に[【感情】+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は【社会】でドッジを行なう。1点でもダメージを与えた場合、対象が次に攻撃から受けるダメージ+10する。1シーン1回。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,破壊のルール,なし,3,常時,自動成功,自身,なし,0,あなたが《アレナ展開》を使用したシーンの間、あなたが行なうDRに+[Lv×2+2]する。あなたの《アレナ展開》のコストは+1される。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,ビーストアナライズ,なし,5,セットアップ,【技術】,範囲,シーン,4,[対象の【社会】+5]を難易度に情報収集判定を行なう。成功するとそのシーンの間、あなたが対象との間で行なう対決判定の達成値を+1し、攻撃によって対象に与えるダメージを+[Lv×2]する。1シーン1回。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,庇護のルール,なし,3,常時,自動成功,自身,なし,0,あなたが《アレナ展開》を使用したシーンの間、あなたが攻撃から受けるダメージを[Lv×2+2]点軽減する。あなたの《アレナ展開》のコストは+1される。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,非常識の壁,なし,5,効果参照,自動成功,自身,なし,2,あなたがガードを行なう際に使用する。そのDRの間、あなたのG値を+[Lv×2]し、特殊攻撃に対してもガードを行える。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,表裏一体,なし,1,常時,自動成功,自身,なし,5,あなたは常に《魔獣化》しているものとして扱う。あなたがシーンに登場する際、通常に加えてさらに1点の人間性が低下する。《魔獣化》のコストを増加するアーツを取得している場合、[増加するコストの合計×2]点、このアーツのコストが増加する。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,世界変転,20、支援,1,DR直前,自動成功,単体,シーン,愛,対象が行なうDRに+[30-あなたの人間性](最大30)する。1シナリオ1回。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,パラダイムシフト,20,1,常時,自動成功,自身,なし,5,あなたの人間性が20以下の間、あなたが行なうあらゆる判定の達成値に+2する。あなたの人間性が0以下の場合、この効果は+3に変更される。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界の超兵器,純血,1,マイナー,自動成功,自身,なし,3,あなたがストレンジャーのアーツの効果で取得または選択したアイテムから一つ選択する。選択したアイテムの持つ攻撃力、G値、A値、行動値修正から別々のふたつを選択し、そのシナリオ中+5する、1シナリオ1回。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,ストレンジワールド,純血,1,常時,自動成功,自身,なし,3,あなたが解放状態の間、あなたが取得している《〇〇のルール》の効果にさらに+3し、その効果をシーン内の味方全てに適用する。,ｽﾄﾚﾝｼﾞｬｰ
DO,ストレンジャー,弛緩のルール,なし,3,常時,自動成功,自身,なし,0,あなたが《アレナ展開》を使用したシーンの間、あなたが使用する「種別：回復」のアーツの効果に+(Lv)D6する。あなたの《アレナ展開》のコストは+1される。,ｽﾄﾚﾝｼﾞｬｰ
DO,ストレンジャー,新世界の法則,0,1,効果参照,自動成功,自身,なし,罪,《常識改鼠》と同時に使用する。その効果を受けたダメージは、属性を持たないダメージとなり、A値とG値を無視し、アーツやアイテムなどの効果で軽減できない。1シナリオに1回まで使用できる。,ｽﾄﾚﾝｼﾞｬｰ
AD,ストレンジャー,大いなる万能感,なし,1,常時,自動成功,自身,なし,2,あなたが何らかの判定にクリティカルした場合、達成値にさらに+5し、受けているBSひとつを回復できる。ただし、あなたがファンブルした場合、あなたは即座に狼狽を受ける。,ｽﾄﾚﾝｼﾞｬｰ
AD,ストレンジャー,ストレンジスタイル,なし,1,判定直後,自動成功,自身,なし,1,あなたが何らかの判定を行なった直後に使用する。その判定の達成値を+1する。,ｽﾄﾚﾝｼﾞｬｰ
転校生 - “学校”という名の閉鎖されたドミニオンを渡り歩くことができるものたちをあらわすルーツ。,,,,,,,,,,,
DE,転校生,不条理通学,自動,3,判定直前,自動成功,自身,なし,3,あなたが何らかの判定を行なう直前に使用する。あなたはその判定を任意の【基本能力値】で行える。1ラウンドLv回。,転校生
DE,転校生,心の友,なし,1,効果参照,自動成功,単体,シーン,3,いつでも使用できる。あなたは対象への絆を得る。そのシナリオの間、あなたが行なう判定の達成値を+1する。その絆がエゴになっている間、この効果は失われる。1シナリオ1回。,転校生
DE,転校生,さらば転校生,なし,1,メジャー,自動成功,効果参照,効果参照,0,エンディングフェイズにのみ使用できる。任意のキャラクターからあなたに関する記憶を消去する。この時、映像や書類上の記録や痕跡などもすべて抹消または改竄できる。GMは、あなたとの間に絆を持つキャラクターのみこの効果を受けないとしてもよい。,転校生
DE,転校生,スクールウェポン,ア,5,常時,自動成功,自身,なし,2,あなたは以下のデータを持つ白兵武器を得る。射撃武器として使用する場合は/の右側のデータとなり、【射撃値】で判定する。　種別：武器(白兵/攻撃)　/命中：0　/G値：4　/攻撃力：【感情】+(Lv×2+3)+1D6　/行動値：0　/射程：至近/遠隔,転校生
DE,転校生,スクールハプニング,なし,1,判定直後,自動成功,自身,なし,2,あなたが行なった情報収集判定の達成値に+4する。ただしその判定に財産点は使用できない。,転校生
DE,転校生,タイマンバトル,攻撃,3,メジャー,【白兵】,単体,武器,3,対象に白兵攻撃を行なう。この攻撃のダメージに+【感情】し、1点でもダメージを与えた場合、あなたと対象は現在のエンゲージを出て新たなエンゲージを作る。1シーンLv回。,転校生
DE,転校生,輝きのメモリアル,20,3,判定直後,自動成功,単体,シーン,4,対象が行なった判定の達成値に+5する。1シナリオLv回。あなたが絆を持つ対象か、あなたへの絆を持つ対象にのみ使用できる。,転校生
DE,転校生,特命能力,純血,1,常時,自動成功,自身,なし,3,あなたは《ストレンジアーツ》で「種別：数字」のアーツもコピーできる。,転校生
DO,転校生,万能転校,なし,1,イニシアチブ,自動成功,自身,なし,愛,あなたは通常移動か離脱移動を行なう。この時、封鎖や《接近困難》(『BBT』P233)など移動を妨害するあらゆる効果を無視する。GMが許可した場合、閉鎖されたドミニオンなどの本来なら侵入不可能な場所に登場できるなどとしてもよい。1シナリオに1回まで使用できる。,転校生
DO,転校生,友情の炎,支援,1,DR直前,自動成功,単体,シーン,3,対象が行なうDRに+[【感情B】+1D6]する。あなたが対象への絆を持つ場合、この効果は+[【感情】+1D6]に変更される。1ラウンドに1回まで使用できる。,転校生
電脳魔術師 - 電脳世界をさまようものたちをあらわすルーツ。,,,,,,,,,,,
DE,電脳魔術師,ニューロマンサー,自動,5,判定直前,自動成功,自身,なし,2,あなたはあらゆる判定を[【技術】+Lv]を判定値で行える。1ラウンド1回。このアーツを取得した場合、あなたは「種別：機械」「種別：概念」としても扱われる。,電脳魔術師
DE,電脳魔術師,アウトオヴコントロール,支援,1,DR直前,自動成功,単体,シーン,3,対象が行なうDRに+2D6し、1点でもダメージを与えた場合、さらに狼狽を与える。1ラウンド1回。,電脳魔術師
DE,電脳魔術師,SPAM,攻撃,5,メジャー,【技術】,範囲,シーン,3,対象に[【技術】+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は【技術】でドッジを行なう。1点でもダメージを与えた場合、さらに放心を与える。対象が「種別：機械」を持つ場合、ダメージにさらに+5する。,電脳魔術師
DE,電脳魔術師,デッドロック,なし,1,セットアップ,自動成功,単体,シーン,3,そのラウンドの間、対象が存在するエンゲージを封鎖する。対象は敵とエンゲージしているものとして扱い、離脱移動を行なう際はあなたと【行動値】対決を行なう。1シーン1回。,電脳魔術師
DE,電脳魔術師,バベルライブラリー,なし,1,判定直後,自動成功,自身,なし,3,あなたが行なう情報収集判定の達成値に+【技術B】する。1シナリオ3回。,電脳魔術師
DE,電脳魔術師,ブービートラップ,なし,3,効果参照,自動成功,自身,なし,3,あなたがガードを行なう際に使用する。攻撃側のキャラクターは[【技術】+(Lv)D6]点の【FP】を失う。攻撃側が「種別：機械」を持つ場合、さらに重圧を与える。1ラウンド1回。,電脳魔術師
DE,電脳魔術師,確率操作,20,3,判定直後,自動成功,単体,シーン,4,対象が行なった判定のダイスのうち、あなたが選択した任意のひとつを振りなおさせる。1シーンLv回。,電脳魔術師
DE,電脳魔術師,天罰,純血、支援,1,判定直前,自動成功,単体,シーン,罪,同意した対象が攻撃の命中判定を行なう直前に使用する。その攻撃を「対象：範囲」に変更し、そのダメージに+[【技術】×3]する。1シナリオ1回。,電脳魔術師
DO,電脳魔術師,ヴィジョナリー,魔獣,3,効果参照,自動成功,自身,なし,3,「射程：至近」「射程：遠隔」のアーツか武器と同時に使用する。その射程をシーンに変更する。1ラウンドに1回まで使用でき、あなたの人間性が20以下の間、1ラウンドにLv回まで使用できる。,電脳魔術師
DO,電脳魔術師,存在消失,なし,1,常時,自動成功,自身,なし,2,現在の人間性に応じて、あなたが受ける以下のダメージを【技術B】点軽減する。人間性が0以下の時、あなたとの間に絆を持たないエキストラはあなたのことを忘れる。40以下：【技術】【社会】　20以下：【肉体】【技術】【社会】　0以下：すべてのダメージ,電脳魔術師
GF225,電脳魔術師,デジタルノーツ,選択,1,常時,自動成功,自身,なし,0,あなたは《魔獣化》中、電脳空間でなくても「種別：アバター」の効果を受けられる。あなたの《魔獣化》のコストは+[取得している「種別：アバター」の数]される,電脳魔術師
GF225,電脳魔術師,圧倒的自己主張,なし,1,セットアップ,自動成功,単体,シーン,3,「種別：アバター」の効果を受けている間のみ使用可能。そのラウンド中、対象の【行動値】を-1D6し、低下分と同じだけあなたの【行動値】を上昇させる,電脳魔術師
GF225,電脳魔術師,ガイインザチェア,なし,3,効果参照,自動成功,自身,なし,2,「種別：アバター」の効果を受けている間は使用不可。自身以外を対象とする「種別：支援」「種別：防御」のアーツと同時に使用し、その効果に+[Lv×3]する。それが《天罰》なら、この効果は+[Lv×5]に変更される。,電脳魔術師
GF225,電脳魔術師,この姿なら何でもできる,なし,3,判定直後,自動成功,自身,なし,2,「種別：アバター」の効果を受けている間のみ使用可能。あなたが行なった判定を振り直す。1ラウンドにLv回まで使用でき、同じ判定に対して特別に複数回使用できる。,電脳魔術師
GF225,電脳魔術師,バーチャルスター,魔獣,1,常時,自動成功,自身,なし,3,《魔獣化》中、あなたの【社会】による判定の達成値を+2する。あなたがアイドルと電脳魔術師のルーツを共に持つ場合このアーツは経験点や初期作成時のアーツ取得数を消費せず取得可能。,電脳魔術師
GF225,電脳魔術師,俺はコイツで行く,20、魔獣,1,イニシアチブ,自動成功,自身,なし,5,そのラウンド中、「種別：アバター」の効果を受けている間あなたは「種別：巨大」として扱われ、攻撃のダメージに+[取得しているエゴの数×5]、A値に+10する。1シナリオに1回使用可能。,電脳魔術師
GF225,電脳魔術師,シュレディンガー殺し,純血,1,効果参照,自動成功,自身,なし,3,取得には《ニューロマンサー》が必要。《確率操作》と同時に使用する。その効果でダイスひとつを振り直させる代わりに、そのダイスの出目をあなたが指定した１～６までの任意のものに変更する。1シナリオ1回使用可能。,電脳魔術師
GF225,電脳魔術師,デジタルフェローシップ,純血,3,判定直前,自動成功,自身,なし,愛,取得には《デジタルノーツ》が必要。あなたが行なうあらゆる判定の判定値を20に変更する。1シーンに1回、1シナリオにLv回使用可能。,電脳魔術師
魔女 - いわゆる魔女をあらわすルーツ。,,,,,,,,,,,
DE,魔女,笑顔の魔法,自動、魔法,1,判定直前,自動成功,単体,シーン,2,対象が行なう判定の達成値に+3する。ただし、攻撃の命中判定に対しては使用できない。1ラウンド1回。,魔女
DE,魔女,魔女のアトリエ,なし,1,メジャー,自動成功,自身,なし,3,常備化に必要な経験点が10以下の「種別：使い捨て」の一般装備一つを選択する。あなたはそのアイテムを1D6個得る。1シナリオ1回。《異界の拠点》を取得している場合、1シナリオ3回。取得したアイテムはシナリオ終了時に失われる。,魔女
DE,魔女,魔女のホウキ,ア、魔法,1,常時,自動成功,自身,なし,2,あなたは以下のデータを持つ乗り物を得る。装備中はドッジの達成値に+2し、飛行状態となる。種別：乗り物(魔法)/命中：0/攻撃力：(【感情】+1)+1D6/G値：4/行動値：16●/射程：至近,魔女
DE,魔女,魔法の呪文,コピー,効果参照,効果参照,効果参照,効果参照,効果参照,効果参照,他のブラッドまたはルーツから、「種別：魔法」のアーツ一つを選択し、コピーする。コピーしたアーツのコストは+1され、判定が発生する場合はそのファンブル値が+1される。,魔女
DE,魔女,魔法のステッキ,ア、魔法,5,常時,自動成功,自身,なし,2,あなたは以下のデータを持つ白兵武器を得る。命中判定は【感情】で行い、装備中は「種別：魔法」のアーツの効果に+3する。種別：武器(白兵/魔法)/命中：0/G値：3/攻撃力：【感情】+(Lv×2+2)+1D6/l行動値：0/射程：至近,魔女
DE,魔女,魔法のパートナー,魔法,1,判定直後,自動成功,自身,なし,2,あなたが行なった判定を振りなおす。振りなおした後の出目が振り直す前の出目以下だった場合、出目を+1(最大12)して扱う。1シナリオ3回。,魔女
DE,魔女,奇跡の大魔法,魔法、20,1,判定直後,自動成功,単体,シーン,7,対象が行なった判定の達成値を+10する。1シナリオ1回。使用後にあなたの持つ絆一つがエゴに変更される。変更できる絆が存在しない場合は使用できない。,魔女
DE,魔女,魔法のプリンセス,純血,1,常時,自動成功,自身,なし,3,あなたの【感情】を+2し、あなたが取得している魔女のアーツの使用回数をすべて+1回する(1ラウンド1回なら、1ラウンド2回使用できる)。,魔女
DO,魔女,魔法少女,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたは《笑顔の魔法》を自身が行なう命中判定にも使用でき、「種別：魔法」のアーツか武器による攻撃ダメージに+【感情B】する。あなたの《魔獣化》のコストは+1される。,魔女
DO,魔女,魔法のアミュレット,ア,3,メジャー,【感情】,自身,なし,4,常備化に必要な経験点が、このアーツの達成値以下の「種別：その他」の一般装備ひとつを得る。取得したアイテムはシナリオ終了時に失われる。1シナリオにLv回まで使用できる。,魔女
マッドサイエンティスト - 異なるドミニオンの理論を受信して、地球ドミニオンで発現させてしまった連中をあらわすルーツ。,,,,,,,,,,,
DE,マッドサイエンティスト,不思議科学,自動,1,常時,自動成功,自身,なし,3,あなたの【技術】を+1し、あなたが行なうあらゆる判定のファンブル値を+1する。あなたのプライマリブラッドがストレンジャーのお場合、さらにあなたの【技術】を+1する。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DE,マッドサイエンティスト,それは非論理的だ！,防御,1,DR直後,自動成功,単体,シーン,3,対象が行なった攻撃のダメージを-【技術B】する。その攻撃のダメージ属性が【技術】以外の場合、この効果は-【技術】に変更される。1ラウンドに1回まで使用できる。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DE,マッドサイエンティスト,超改造,なし,5,メジャー,自動成功,単体,至近,2,同意した対象が所持しているアイテムからひとつ選択する。そのアイテムが持つ攻撃力、A値、G値、行動値修正からひとつ選択し、そのシナリオの間+3する。1シナリオにLv回まで使用でき、同じアイテムには複数回使用できない。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DE,マッドサイエンティスト,超発明,ア,1,セットアップ,自動成功,自身,なし,4,常備化に必要な経験点が[【技術】×3]以下のアイテムひとつを取得する。即座に装備または交換してもよい。この時、取得には特定のブラッドやルーツに必要なアイテムも取得できる。1シナリオに1回まで使用でき、取得したアイテムはシナリオ終了時に失われる。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DE,マッドサイエンティスト,フランケンシュタインの怪物,ア,5,常時,自動成功,自身,なし,2,あなたは以下のデータを持つ射撃武器を得る。この武器による命中判定のファンブル値は+1される。　種別：武器(射撃/軍団)　命中：0　G値：[Lv×2+3]　攻撃力：【技術】+(Lv×2)+2D6　行動値：0　射程：シーン,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DE,マッドサイエンティスト,予測の範囲内,なし,3,リアクション,【技術】,自身,なし,2,あなたはドッジを【技術】で行なえる。1ラウンドにLv回まで使用できる。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DE,マッドサイエンティスト,不屈の探求心,20,1,判定直後,自動成功,自身,なし,4,あなたがファンブルを発生させた直後に使用する。その判定をクリティカルに変更する。1シナリオに1回まで使用できる。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DE,マッドサイエンティスト,科学者の良心,純血,1,効果参照,自動成功,自身,なし,1,あなたの絆ひとつがエゴ化する際に使用する。その絆がエゴ化することを防ぎ、絆のままにする。1シナリオ1回まで使用できる。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DO,マッドサイエンティスト,アーツマシン,ア,1,常時,自動成功,自身,なし,1,あなたが《ストレンジアーツ》で取得したアーツの判定値と効果文中に書かれている【基本能力値】はすべて【技術】、【能力ボーナス】は【技術B】に変更される。また、「種別：ア」なら「タイミング：常時」のアーツもコピーできる(取得時に選択し直してよい)。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
DO,マッドサイエンティスト,改造手術,なし,1,メジャー,自動成功,単体,至近,3,同意した対象か、かりそめの死を受けている対象にのみ使用できる。対象はそのシナリオ中「種別：機械」としても扱われ、攻撃ダメージと【肉体】【技術】のA値が+[あなたの【技術B】]される。1シナリオに1回まで使用でき、使用後に対象は1D6点の人間性を失う。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
GF235,マッドサイエンティスト,かくなる上は仕方ない,魔獣,5,イニシアチブ,自動成功,自身,なし,4,そのシーン中、あなたは「種別：巨大」となり、【白兵値】に+2、白兵攻撃のダメージを+[Lv+1]D6し、命中判定以外の判定の達成値を-2する。1シナリオに1回まで使用できる。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
GF235,マッドサイエンティスト,支配電波,魔獣,1,メジャー,【技術】,単体,シーン,3,対象の【感情】と対決し、あなたが勝利した場合、対象と同一エンゲージのあなたが選択した者すべては[対象のもっとも高い【基本能力値】]点の【FP】を失う。対象がクラードか「種別：軍団」を装備している場合、失う【FP】は+5される。対象を単体から変更不可。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
GF235,マッドサイエンティスト,もっと出力を上げろ！,魔獣,1,DR直後,自動成功,自身,なし,2,あなたが行なった攻撃のダメージに+2D6する。ただしこの2D6がゾロ目だった場合、あなたは攻撃後にその出目の合計に等しい【FP】を失う。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
GF235,マッドサイエンティスト,ヤツの弱点はそこだ！,なし,1,効果参照,自動成功,単体,シーン,2,対象への攻撃がクリティカルで命中した直後に使用する。そのシーン中、対象が攻撃から受けるダメージを+[あなたの【技術B】]する。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
GF235,マッドサイエンティスト,こうなったら道連れだ,純血、魔獣,5,メジャー,【技術】,シーン,シーン,7,対象に[【技術】*2+(Lv*2)D6]点のダメージを与える特殊攻撃を行なう。対象は【技術】でドッジを行なう。このアーツはあなた自身にも命中したものとしてダメージロールを行なうこと。1シナリオに1回まで使用可能。,ﾏｯﾄﾞｻｲｴﾝﾃｨｽﾄ
"R.E.L.I.C. - “Reservers of Esoteric, Lost and Isolated Civilizations”(遺跡守護組織)に所属するエージェントをあらわすルーツ。",,,,,,,,,,,
DE,R.E.L.I.C,守護精霊級エージェント,自動,1,判定直前,自動成功,自身,なし,2,あなたは白兵攻撃の命中判定と情報収集判定を【肉体】で行なえる。,R.E.L.I.C
DE,R.E.L.I.C,オーパーツ所持,ア,5,常時,自動成功,自身,なし,2,あなたは常備化に必要な経験点が[Lv×5+10]以下のアイテムひとつを取得する。取得したアイテムは「種別：遺産」として扱われ、武器なら攻撃力、防具か乗り物なら行動値に+2する。この時、取得に特定のブラッドやルーツが必要なアイテムも取得できる。プリプレイに選択し直してもよい。,R.E.L.I.C
DE,R.E.L.I.C,機甲服,ア,1,常時,自動成功,自身,なし,2,あなたは以下のデータを持つ防具を得る。　名称：機甲服　種別：防具(遺産)　ドッジ：-2　A値：4　行動値：-2　購入：-/-　装備中は【肉体】に+2する(【FP】は変化しない)。,R.E.L.I.C
DE,R.E.L.I.C,スプリガンズメソッド,攻撃,1,メジャー,【白兵】【射撃】,単体,武器,2,対象に白兵攻撃か射撃攻撃を行なう。この攻撃ダメージに+【肉体B】する。対象が「種別：巨大」を持つ場合、さらに攻撃対象のA値を0として扱う。,R.E.L.I.C
DE,R.E.L.I.C,地形利用,なし,5,セットアップ,自動成功,範囲,シーン,5,対象は即座に狼狽を受ける。対象の【肉体】が[あなたの【肉体】+Lv]以下でなければ効果がない。1シーンに1回まで使用できる。,R.E.L.I.C
DE,R.E.L.I.C,レリックアシスト,なし,1,判定直前,自動成功,自身,なし,2,あなたが基本能力値か戦闘能力値で行なう判定の達成値を+2する。ただし、その判定でファンブルが発生した場合、あなたは【FP】を4点失う。「種別：遺産」のアイテムを所持または装備中のみ使用できる。,R.E.L.I.C
DE,R.E.L.I.C,レリックバースト,20、支援、防御,3,DR直前,自動成功,単体,シーン,5,対象が行なうDRに+【肉体】、または-【肉体】する。「種別：遺産」のアイテムを所持または装備中のみ使用でき、1シーンにLv回まで使用できる。,R.E.L.I.C
DE,R.E.L.I.C,レリックブレイク,純血,1,マイナー,自動成功,自身,なし,4,使用時にあなたが所持または装備中の「種別：遺産」のアイテムひとつを選択すること。選択できない場合は使用できない。そのシーンの間、あなたが行なうあらゆる判定の達成値に+2し、攻撃ダメージに+2D6する。使用後はそのシナリオの間、選択したアイテムは失われる。,R.E.L.I.C
DO,R.E.L.I.C,死ぬかと思った,なし,1,効果参照,自動成功,自身,なし,2,あなたがBSを受けている間、《守護精霊級エージェント》か《レリックアシスト》と同時に使用する。そのBSひとつを即座に回復し、その判定の達成値をさらに+2する。,R.E.L.I.C
DO,R.E.L.I.C,冒険百連発,防御,3,DR直後,自動成功,単体,至近,3,対象が受けるダメージを【肉体】点軽減し、あなたは狼狽を受ける。1ラウンドにLv回まで使用できる。,R.E.L.I.C
タイムトラベラー - 過去や未来から訪れたものたちをあらわすルーツ(『ドミニオンズ』にて追加)。,,,,,,,,,,,
DO,タイムトラベラー,時を越えた導き,自動,1,判定直後,自動成功,単体,シーン,3,対象が行なった判定を振り直させる。1ラウンドに1回まで使用でき、それが情報収集判定の場合は振り直したあとの達成値を+[1+《繰り返すループ》の使用回数]する。,ﾀｲﾑﾄﾗﾍﾞﾗｰ
DO,タイムトラベラー,繰り返すループ,なし,3,メジャー,自動成功,自身,なし,6,そのシナリオの間、あなたが行なう堕落判定以外の判定の達成値を+1する。複数回使用した場合、この効果はLv回まで重複する。,ﾀｲﾑﾄﾗﾍﾞﾗｰ
DO,タイムトラベラー,時空干渉,魔獣,1,イニシアチブ,自動成功,自身,なし,5,あなたは即座にメインプロセスを行なう。未行動でなくては使用できず、メインプロセス後に行動済みとなる。そのメインプロセスの間、あなた以外が行なう判定の達成値を-2する。1シーンに1回まで使用できる。,ﾀｲﾑﾄﾗﾍﾞﾗｰ
DO,タイムトラベラー,ショートリープ,なし,1,イニシアチブ,自動成功,自身,なし,4,あなたは通常移動か離脱移動を行なう。この時、任意の数のアイテムを即座に装備または交換してもよい。1シーンに1回まで使用できる。,ﾀｲﾑﾄﾗﾍﾞﾗｰ
